traffic,cpu,memory,optimal_cpu
4675,2,22,4
4138,5,22,4
2756,13,12,3
4433,12,57,5
3592,8,4,3
1043,5,13,1
3110,1,24,3
4090,13,4,4
4439,1,54,5
4491,8,33,5
1568,5,23,2
3338,12,49,4
3176,11,19,3
2552,4,51,4
3367,10,40,4
3739,10,24,4
1011,7,27,1
2145,2,62,3
3960,9,42,5
2524,10,2,3
3429,15,31,3
1077,2,4,1
1055,1,54,2
3015,2,58,4
414,3,29,1
3348,8,6,3
2382,9,24,2
860,14,14,1
4940,10,34,6
3083,3,32,4
1269,12,38,3
3427,8,34,4
2883,8,60,4
1851,1,50,3
1567,4,26,2
3779,14,24,4
2711,11,21,3
2220,1,48,3
3271,2,17,3
1055,5,36,2
1065,8,50,2
2737,3,55,4
1484,10,32,3
311,14,37,2
4073,1,51,5
3520,7,3,3
4004,3,26,4
1069,4,7,1
2563,14,48,4
3841,10,39,5
911,2,40,2
2037,6,23,2
3587,5,32,4
3355,12,61,4
4298,1,57,5
3092,7,49,4
3494,6,53,4
1556,5,15,2
3127,9,37,4
533,1,62,2
4618,10,48,5
4842,6,46,6
3428,7,10,3
546,8,38,2
2822,7,37,4
748,3,63,2
397,8,21,1
1604,9,20,2
3151,6,6,3
632,13,8,1
276,3,27,1
3425,15,49,4
1193,4,20,1
4084,15,25,4
2920,13,54,4
4131,8,56,5
4154,13,4,4
215,15,28,1
3826,8,40,5
4243,12,41,5
3284,12,37,4
4299,9,28,4
130,2,13,1
2751,11,30,3
1635,10,62,3
4793,14,47,5
1106,11,38,2
2652,6,36,4
584,6,12,1
734,8,59,2
2113,2,43,3
546,12,13,1
1193,12,62,2
4396,10,44,5
3692,4,10,4
3692,13,20,4
271,12,50,2
2822,10,2,3
3933,9,25,4
4086,10,32,5
1650,9,42,3
244,15,25,1
3363,15,47,4
2047,7,5,2
3317,8,51,4
4840,12,21,5
2422,1,28,3
4129,8,4,4
4998,4,39,6
222,6,40,2
419,2,18,1
109,8,18,1
1566,14,55,3
1698,14,51,3
1110,14,52,2
2784,5,9,3
2607,9,6,3
1614,11,15,2
795,4,13,1
3409,14,63,4
3849,1,24,4
2190,8,47,3
2207,10,62,3
3383,13,46,4
3546,14,2,3
1732,7,59,3
3915,6,13,4
410,7,44,2
807,14,6,1
4071,3,3,4
4829,1,55,6
1285,1,54,3
454,2,18,1
2612,12,43,4
3681,8,61,5
3739,1,58,5
2120,15,42,3
781,14,32,2
1452,8,4,2
282,6,4,1
1196,5,55,2
4394,12,36,5
4882,12,50,6
4820,6,13,5
4332,2,12,4
4867,5,33,6
1786,1,22,2
1627,12,62,3
4155,4,3,4
1597,12,2,2
1508,8,16,2
4506,14,32,5
1681,12,56,3
3363,14,28,3
2713,13,23,3
2312,14,6,2
4770,3,14,4
3446,9,51,4
2539,10,3,3
2618,1,61,4
2987,9,11,3
548,10,4,1
1037,2,31,1
2899,13,18,3
1505,7,16,2
1086,5,14,1
1917,11,9,2
3141,6,50,4
3789,6,54,5
685,11,49,2
985,6,56,2
2769,10,45,4
4444,11,28,4
915,4,32,2
399,4,5,1
832,10,48,2
1857,6,12,2
619,4,3,1
1212,4,41,3
3229,9,26,3
3825,11,19,4
4451,8,47,5
4740,6,54,5
374,13,4,1
1239,3,7,2
201,14,62,2
4786,10,42,5
672,7,33,2
4748,15,17,4
2621,2,10,3
3214,10,57,4
3461,5,44,4
4485,15,16,4
3887,13,31,4
3964,7,16,4
2127,9,21,2
707,11,26,1
4565,15,31,4
1574,13,4,2
727,15,53,2
4238,1,62,5
2147,1,60,3
3612,10,39,5
1968,6,11,2
1399,3,60,3
2054,3,38,3
3720,11,26,4
1326,6,5,2
2170,8,40,3
2600,15,48,4
3947,8,46,5
4183,4,55,5
3270,9,8,3
3009,5,36,4
424,11,5,1
1267,11,28,2
4411,14,18,4
1467,11,17,2
4417,15,7,4
907,13,51,2
2088,2,19,2
1843,7,21,2
2103,3,4,2
2836,9,9,3
2143,3,39,3
1464,13,2,2
4181,10,63,5
2300,15,55,3
4300,6,10,4
3988,10,19,4
2317,15,58,3
571,6,49,2
1723,4,13,2
4302,13,47,5
1111,15,28,1
2712,4,26,3
2742,4,25,3
3147,13,18,3
3635,12,24,4
1048,5,54,2
2088,6,61,3
734,13,21,1
855,4,28,1
3913,3,12,4
2713,7,38,4
869,3,43,2
1487,2,45,3
917,3,40,2
3606,1,37,5
185,8,21,1
2395,11,46,3
4381,7,40,5
1781,4,35,3
1662,11,30,2
4081,5,23,4
2910,7,59,4
2058,9,20,2
4115,7,34,5
4958,1,24,5
4443,4,55,5
101,3,57,2
1467,7,18,2
2445,14,40,4
4582,8,7,4
1544,11,48,3
2309,12,50,3
605,4,31,1
3836,10,30,4
4518,15,31,4
458,7,26,1
3227,3,26,3
3449,11,15,3
3350,14,53,4
4404,12,60,5
1805,3,57,3
4883,14,52,6
569,13,52,2
2839,12,8,3
3939,8,27,4
4774,8,63,5
3636,12,62,5
495,15,41,2
833,13,53,2
2855,5,48,4
940,11,47,2
358,1,22,1
1866,5,42,3
4299,8,29,4
1833,11,56,3
3398,2,22,3
1087,15,16,1
4453,8,25,4
2630,14,2,3
1068,4,26,1
641,11,50,2
555,3,7,1
1951,12,20,2
3940,4,7,4
4160,11,57,5
880,5,29,1
2308,12,28,2
4328,6,47,5
3534,4,52,4
4236,5,61,5
3462,14,41,4
3158,10,39,4
3265,4,15,3
2306,6,22,2
844,15,63,2
4709,13,63,5
4435,10,53,5
3744,6,15,4
612,12,56,2
2430,2,26,3
4631,4,35,5
369,12,44,2
1210,13,43,3
1739,3,59,3
1264,11,57,3
3789,1,49,5
3930,7,52,5
1116,2,16,1
1627,10,14,2
1079,11,47,2
1665,13,21,2
2295,11,62,3
1657,14,25,2
2679,12,22,3
3155,5,11,3
3991,15,3,4
2719,2,58,4
4945,7,48,6
1364,11,16,2
2025,4,16,2
4382,6,27,4
1003,13,46,2
388,15,44,2
4322,14,55,5
3735,13,19,4
3764,2,6,4
1334,5,15,2
1451,5,61,3
4728,2,31,4
325,13,11,1
548,7,40,2
4074,1,29,4
1550,1,12,2
1255,9,54,3
1769,7,15,2
4791,12,12,4
4073,14,31,4
3593,14,18,3
3904,3,31,4
3793,3,2,4
2535,8,60,4
2700,1,54,4
3463,11,63,4
4644,14,45,5
459,1,48,2
1638,7,25,2
196,15,16,1
4594,3,63,5
1226,10,14,2
1215,2,25,2
4155,1,13,4
4351,14,45,5
2383,7,30,2
982,9,22,1
4389,10,56,5
2068,2,62,3
3100,3,52,4
3118,4,25,3
949,10,45,2
2896,1,12,3
2488,15,11,3
2066,10,48,3
2634,3,32,4
4063,13,42,5
3835,3,29,4
1896,2,61,3
332,6,62,2
3590,5,33,4
1650,4,3,2
1352,10,16,2
2551,2,22,3
2686,9,9,3
304,4,55,2
3307,15,13,3
859,14,10,1
4313,5,17,4
2509,7,40,4
1453,15,15,2
2705,3,16,3
4101,13,54,5
977,10,6,1
675,6,61,2
693,6,37,2
4238,12,25,4
1710,7,10,2
1690,7,24,2
4520,13,47,5
4610,14,5,4
671,1,20,1
889,5,33,2
4266,13,53,5
1813,14,15,2
2635,2,42,4
4677,11,49,5
947,1,10,1
2128,13,18,2
4873,7,24,5
875,3,10,1
3073,15,30,3
800,8,49,2
2369,2,30,2
3396,11,41,4
1221,1,11,2
4386,9,36,5
2027,13,10,2
2410,2,51,4
2186,9,34,3
4012,11,38,5
2018,1,58,3
297,10,49,2
2609,3,36,4
4276,3,44,5
429,12,11,1
4298,13,47,5
2344,6,25,2
3071,8,47,4
1021,11,49,2
2444,4,62,4
4998,1,54,6
370,2,56,2
3675,6,28,4
3293,8,35,4
2713,15,40,4
3310,8,13,3
3506,9,7,3
1531,2,21,2
4919,5,15,5
723,2,43,2
2460,14,19,3
591,14,56,2
3854,3,8,4
3171,7,7,3
141,13,52,2
377,7,53,2
972,11,20,1
4608,6,41,5
4631,6,52,5
1502,5,56,3
3744,9,22,4
4582,7,47,5
4474,1,25,4
3693,12,57,5
1340,7,31,2
3249,5,28,3
753,9,9,1
1520,13,7,2
3427,12,12,3
1770,3,5,2
3398,4,50,4
307,1,9,1
1073,8,5,1
2731,11,6,3
3819,10,38,5
351,2,14,1
2603,11,14,3
2432,13,38,4
985,3,6,1
2874,11,58,4
1491,4,15,2
1797,5,22,2
3442,13,15,3
3003,7,62,4
1345,2,37,3
1432,6,39,3
3597,11,56,4
1258,14,28,2
504,6,28,1
3282,1,8,3
4279,2,8,4
4603,14,42,5
1172,6,2,1
2008,4,44,3
1939,13,52,3
4934,7,12,5
3353,7,13,3
684,6,59,2
3117,5,10,3
1161,5,26,1
988,2,51,2
854,9,34,2
1782,14,62,3
1522,10,41,3
4434,5,14,4
4696,11,58,5
1908,7,31,2
4835,4,58,6
2515,13,12,3
3764,7,55,5
1792,12,4,2
4663,4,38,5
2768,15,48,4
2711,11,57,4
1454,10,24,2
1319,12,35,3
1587,14,4,2
4452,12,57,5
3526,3,14,3
2283,2,43,3
2869,13,43,4
3973,7,49,5
3307,9,58,4
1708,1,34,3
3018,8,55,4
3378,9,47,4
4546,2,31,4
3868,15,15,4
1261,1,32,3
3281,7,47,4
667,14,19,1
1875,8,28,2
2684,15,49,4
4318,6,23,4
2986,4,32,4
4123,11,45,5
522,11,2,1
166,8,56,2
4863,15,60,6
457,6,19,1
3445,13,33,4
2752,4,60,4
339,13,33,2
2902,11,58,4
3954,12,3,4
3021,8,44,4
1943,14,60,3
4947,11,34,6
4163,6,16,4
2489,6,33,4
1201,6,50,3
2427,13,29,3
4082,15,21,4
2017,3,58,3
1748,8,10,2
2467,11,24,3
2452,12,49,4
2064,3,2,2
796,4,42,2
3386,8,32,4
838,5,24,1
4362,9,59,5
4398,14,57,5
3249,15,2,3
2741,11,31,3
3133,11,22,3
1602,6,36,3
1617,6,36,3
2373,13,5,2
1331,11,30,2
781,4,45,2
2774,5,35,4
3565,7,60,4
2276,9,38,3
1942,14,55,3
4843,1,6,5
3858,1,9,4
3215,1,33,4
3101,3,31,3
4679,7,8,4
2720,15,37,4
4886,6,39,6
3871,4,42,5
4533,9,45,5
2191,14,3,2
2987,9,48,4
3187,7,11,3
4965,8,46,6
1849,14,37,3
2355,8,49,3
105,6,54,2
3205,14,32,4
3423,8,31,3
3093,10,3,3
2440,4,13,3
1925,14,4,2
880,5,20,1
185,5,51,2
3964,13,29,4
2082,5,51,3
1223,3,28,2
4742,4,19,4
1650,7,3,2
2680,5,35,4
4225,13,41,5
3277,7,51,4
2983,1,39,4
1523,8,11,2
1646,11,43,3
4608,12,32,5
4969,12,11,5
1574,8,41,3
1176,2,4,1
4114,10,35,5
2710,6,8,3
4709,13,2,4
4473,11,61,5
260,12,16,1
1228,4,36,3
4911,13,38,6
1281,1,30,2
4927,12,30,5
2415,7,28,3
756,4,3,1
1382,3,14,2
160,11,51,2
2411,3,60,4
1363,11,35,3
905,1,4,1
4159,12,23,4
1071,2,48,2
4812,10,10,5
1019,12,13,1
1045,3,12,1
4117,6,19,4
1939,9,56,3
2313,3,24,2
3066,2,30,3
1772,14,53,3
1183,11,59,2
496,3,35,2
4838,10,23,5
4654,15,37,5
4395,14,57,5
304,4,63,2
4440,11,29,4
3616,8,44,5
2700,5,44,4
3594,7,61,4
4562,11,58,5
3090,11,35,4
3580,3,8,3
528,15,28,1
4782,3,40,5
195,9,30,1
3826,11,32,5
764,15,17,1
3053,6,40,4
575,14,32,2
1652,4,51,3
2926,8,52,4
4312,1,38,5
4911,5,13,5
1406,2,53,3
481,2,5,1
3726,14,21,4
2372,12,43,3
4584,4,41,5
4738,6,8,4
1749,15,40,3
1940,4,63,3
3512,1,42,4
3700,8,17,4
2461,9,21,3
566,14,21,1
951,4,37,2
2879,6,9,3
1612,1,11,2
1052,13,2,1
4357,13,44,5
2951,10,29,3
510,3,30,1
3753,15,44,5
4929,1,3,5
2476,10,36,4
2948,15,16,3
3384,14,22,3
1530,12,60,3
4542,8,48,5
2722,1,4,3
4105,11,48,5
3715,7,61,5
4519,12,44,5
2195,13,5,2
4346,9,48,5
4388,14,46,5
100,1,20,1
134,14,49,2
854,8,34,2
329,13,57,2
1931,14,35,3
1632,7,41,3
389,15,59,2
3424,2,2,3
2724,8,17,3
4526,15,43,5
2704,3,11,3
4421,6,7,4
4305,2,45,5
4708,6,24,4
282,11,3,1
2846,6,10,3
4104,8,7,4
4189,1,29,4
3582,6,46,4
4706,8,47,5
1875,11,12,2
4941,4,26,5
685,10,33,2
672,5,46,2
4291,7,24,4
2685,13,26,3
3735,1,29,4
684,3,28,1
3242,9,13,3
4671,5,45,5
4757,7,51,5
4082,6,53,5
3749,10,47,5
1976,2,24,2
1603,8,41,3
2466,5,59,4
791,10,31,1
1101,12,15,1
2457,10,44,4
577,12,63,2
307,15,36,2
4213,5,52,5
1980,13,25,2
1766,14,40,3
1466,5,14,2
3960,14,8,4
3302,13,40,4
4111,15,6,4
4854,1,62,6
2786,12,30,3
2455,8,24,3
3515,6,58,4
1616,9,35,3
3214,2,3,3
2179,5,25,2
1846,6,21,2
2601,12,45,4
1459,2,43,3
2783,8,58,4
3950,11,50,5
581,8,9,1
3730,7,50,5
2080,13,5,2
170,8,10,1
2157,6,7,2
1934,3,11,2
4244,8,5,4
2022,11,10,2
4439,10,25,4
3552,4,43,4
3740,14,3,4
4232,15,27,4
4605,12,28,4
3611,15,17,4
3214,9,8,3
4702,10,16,4
2463,11,54,4
1795,9,48,3
1138,10,3,1
3877,15,33,5
4692,5,29,4
1712,6,28,2
4019,15,43,5
1419,8,33,3
643,15,21,1
4337,13,3,4
1577,3,62,3
927,13,39,2
4380,10,28,4
773,1,21,1
2039,7,16,2
555,15,24,1
666,3,58,2
4082,9,14,4
3849,7,18,4
4380,14,38,5
2218,3,61,3
2508,14,47,4
4213,12,40,5
1801,1,63,3
1629,10,13,2
1557,9,10,2
2474,9,2,3
624,8,33,2
4755,6,27,4
526,6,56,2
4019,1,31,4
3039,14,37,4
2286,13,29,2
372,8,43,2
666,4,63,2
3695,6,29,4
4185,8,15,4
3602,12,10,4
235,9,21,1
4695,1,51,5
4595,10,16,4
2348,14,23,2
289,7,53,2
1569,8,29,2
4451,14,32,5
4051,2,7,4
444,13,30,1
356,2,29,1
2579,14,18,3
1982,14,17,2
4207,4,40,5
3937,12,33,5
3291,5,43,4
3722,4,58,5
3386,9,30,3
1747,3,43,3
4379,5,52,5
941,1,19,1
2256,1,9,2
3567,13,4,3
1133,2,31,1
1584,7,6,2
3793,9,20,4
2110,1,24,2
1808,13,59,3
4877,2,14,5
1116,6,17,1
2000,1,52,3
2631,4,19,3
4806,2,11,5
3359,7,18,3
4412,4,23,4
625,13,3,1
2423,14,13,3
3031,15,13,3
4844,8,19,5
2922,13,48,4
2599,14,10,3
4577,9,52,5
1691,14,32,3
2733,7,12,3
1731,14,29,2
3863,1,61,5
3503,14,36,4
2266,1,12,2
2471,10,17,3
1725,5,51,3
865,5,15,1
1519,1,37,3
2794,9,46,4
3520,2,8,3
380,5,35,2
2728,2,12,3
1912,2,14,2
979,11,55,2
3867,7,51,5
1276,15,30,2
4976,7,17,5
1206,13,33,3
2388,14,24,2
1988,5,56,3
4787,4,30,4
1148,2,47,2
3664,4,13,4
3972,13,51,5
2721,4,9,3
4974,10,43,6
4642,1,5,4
4195,14,10,4
1967,11,58,3
201,12,33,2
264,8,37,2
4870,11,22,5
1041,14,55,2
4559,11,54,5
879,5,61,2
2053,2,29,2
1164,1,60,2
2280,14,62,3
1327,12,38,3
2173,7,20,2
619,8,58,2
577,9,59,2
3721,3,25,4
2016,2,5,2
3729,5,52,5
2995,8,31,3
449,10,19,1
3749,8,25,4
3779,1,58,5
3239,12,47,4
1271,15,8,2
4296,12,31,4
423,9,29,1
1998,15,29,2
4688,14,47,5
4239,9,18,4
3660,3,54,5
4828,14,57,6
1665,7,39,3
2062,10,29,2
1756,13,4,2
2273,8,47,3
2167,5,43,3
4780,10,23,4
448,11,13,1
116,4,48,2
4466,12,46,5
4318,14,10,4
3503,3,32,4
3977,9,22,4
4630,4,34,5
2961,7,38,4
1996,1,29,2
3831,13,34,5
3872,10,36,5
558,7,7,1
3347,12,56,4
2188,1,59,3
2010,3,27,2
488,12,30,1
1319,1,30,2
106,12,28,1
3979,2,27,4
1401,4,57,3
3089,10,40,4
679,9,60,2
1665,14,22,2
3193,15,62,4
3550,6,16,3
3321,12,15,3
4264,12,6,4
1130,10,31,1
388,1,45,2
3555,6,31,3
711,5,34,2
134,6,20,1
2653,6,57,4
4663,10,51,5
442,3,46,2
3640,3,32,5
4063,8,44,5
1862,11,38,3
377,10,53,2
3124,10,52,4
1764,15,44,3
1474,5,21,2
3296,5,44,4
872,4,11,1
453,2,19,1
2838,12,3,3
2177,15,16,2
3010,2,8,3
3851,3,34,5
185,3,47,2
606,14,48,2
1707,12,4,2
1968,9,20,2
2182,4,23,2
4553,8,2,4
2857,6,55,4
2667,7,2,3
2416,6,8,3
556,2,61,2
3513,7,24,3
2665,12,14,3
3019,10,9,3
1575,5,56,3
1340,13,31,2
363,10,30,1
1523,15,15,2
2085,3,20,2
2707,13,55,4
4581,1,20,4
1582,14,38,3
2456,9,43,4
960,8,11,1
316,13,45,2
1643,2,29,2
3222,15,27,3
3387,3,40,4
2998,10,23,3
651,10,15,1
2959,13,51,4
3041,14,13,3
3782,6,22,4
1069,3,26,1
3110,6,10,3
984,6,4,1
555,4,16,1
1940,15,55,3
2869,2,25,3
4247,10,54,5
2386,12,51,3
3698,7,30,4
433,9,32,2
1616,9,15,2
311,4,24,1
323,1,12,1
2184,15,39,3
4934,14,28,5
1539,9,62,3
907,12,22,1
1482,3,44,3
1489,12,51,3
4775,2,57,5
3183,9,59,4
531,12,42,2
3766,6,5,4
623,3,42,2
3518,8,34,4
1522,5,51,3
645,10,54,2
2427,15,18,3
3447,4,14,3
4932,6,14,5
473,4,52,2
947,12,6,1
2939,14,45,4
3451,7,8,3
4801,1,40,6
625,5,43,2
1036,13,6,1
3105,8,33,4
2672,15,30,3
4571,7,59,5
4465,1,35,5
652,2,40,2
2195,13,25,2
4112,9,20,4
4093,6,3,4
159,8,10,1
1506,12,46,3
456,6,55,2
328,1,15,1
1711,2,15,2
599,4,42,2
4176,5,19,4
4377,4,51,5
2325,5,52,3
1276,15,3,2
1043,13,48,2
654,1,48,2
4264,1,40,5
2061,3,36,3
2346,15,15,2
2384,6,28,2
4619,14,13,4
1915,2,22,2
4912,2,52,6
3448,9,11,3
1317,4,51,3
4061,14,18,4
2923,5,55,4
3322,5,4,3
1468,15,12,2
4042,10,48,5
4936,2,22,5
3988,6,31,4
1413,1,52,3
1184,10,10,1
3907,1,37,5
3796,11,52,5
3595,5,43,4
2261,9,22,2
4219,4,53,5
2254,15,36,3
954,6,2,1
2261,6,46,3
4411,4,17,4
2886,15,12,3
584,9,36,2
800,14,4,1
4340,3,7,4
3711,10,50,5
3839,6,38,5
3607,12,23,4
2008,13,27,2
1451,7,26,2
1558,15,59,3
2570,12,33,4
4642,5,16,4
2732,12,43,4
2828,14,7,3
1339,8,42,3
4220,15,53,5
1854,2,22,2
2510,12,5,3
1160,7,10,1
1853,3,36,3
3866,1,21,4
2225,15,5,2
3298,14,31,3
1636,6,16,2
418,15,46,2
919,15,42,2
2091,11,31,2
2009,4,13,2
1556,11,34,3
433,3,2,1
2004,9,54,3
3708,11,31,4
3760,11,38,5
1421,1,9,2
561,12,63,2
1655,3,4,2
2673,11,15,3
1154,1,7,1
4618,11,17,4
4021,6,35,5
2280,3,58,3
3191,13,30,3
2247,10,40,3
3959,3,42,5
1682,10,44,3
1208,5,13,2
3940,3,53,5
2534,10,52,4
2269,4,39,3
1379,5,61,3
4783,4,30,4
4974,10,47,6
898,8,29,1
2474,8,15,3
854,14,7,1
4142,12,9,4
3581,4,24,3
4950,2,53,6
1678,11,63,3
4838,12,13,5
255,8,35,2
4736,11,36,5
1803,7,60,3
2051,12,43,3
4659,10,56,5
4061,14,61,5
4712,7,16,4
2067,10,29,2
974,9,26,1
256,15,46,2
3059,12,52,4
761,12,39,2
1443,7,35,3
4509,13,26,4
1252,5,24,2
610,4,35,2
652,12,15,1
3351,6,9,3
2615,11,17,3
975,3,44,2
3427,2,26,3
1854,13,10,2
3396,2,13,3
787,13,31,1
2162,5,19,2
425,8,58,2
921,14,36,2
661,4,14,1
4406,10,17,4
1612,12,5,2
1320,14,46,3
3037,2,61,4
2709,2,7,3
4797,8,40,5
1817,7,38,3
2183,15,22,2
2361,1,60,3
4118,13,5,4
3180,11,63,4
3469,13,25,3
1343,12,21,2
4836,13,44,6
3127,9,28,3
2815,15,54,4
2936,13,11,3
1507,14,54,3
2026,11,57,3
4579,4,26,4
3978,12,22,4
4488,14,29,4
4712,14,37,5
3250,14,57,4
4956,4,5,5
1543,1,11,2
2798,9,9,3
1897,3,3,2
2857,4,60,4
3768,1,16,4
3092,11,12,3
2025,7,41,3
1921,12,59,3
1185,4,16,1
4895,3,20,5
197,15,40,2
1569,2,52,3
1898,8,23,2
2526,12,48,4
2412,9,26,3
2982,11,36,4
4866,9,18,5
875,11,37,2
1043,12,16,1
2034,4,52,3
2002,1,37,3
2849,2,41,4
884,9,9,1
3948,9,16,4
421,11,52,2
4838,10,21,5
4267,4,19,4
3466,1,63,4
3088,15,33,4
1464,8,21,2
3465,4,44,4
2688,13,3,3
951,5,2,1
672,6,31,1
4145,11,52,5
4325,9,37,5
1951,12,53,3
1186,3,32,2
2431,2,17,3
2894,12,45,4
565,8,26,1
4055,5,46,5
595,2,38,2
2035,6,62,3
868,2,12,1
3227,5,60,4
583,6,43,2
4120,9,24,4
3101,1,49,4
4301,8,53,5
4888,6,30,5
4905,11,48,6
1327,10,23,2
1527,1,3,2
1063,6,45,2
3361,7,52,4
2055,15,29,2
2907,15,11,3
1313,3,34,3
904,2,19,1
329,10,18,1
2991,14,19,3
4502,10,35,5
3138,7,56,4
2808,1,62,4
3525,12,63,4
2868,11,47,4
1882,9,57,3
3606,9,46,5
255,10,10,1
2827,8,11,3
2976,15,48,4
2859,13,8,3
2188,4,63,3
3673,5,39,5
4569,3,37,5
544,11,17,1
432,5,20,1
1567,15,19,2
1643,2,2,2
2931,5,46,4
2792,9,60,4
1746,12,21,2
147,8,46,2
1600,10,55,3
109,10,23,1
2750,7,46,4
3710,8,5,4
3353,4,13,3
4789,1,35,5
1515,13,28,2
4270,2,35,5
785,4,31,1
3816,11,54,5
3457,8,53,4
1728,7,56,3
2971,7,42,4
1542,8,16,2
3751,11,19,4
489,5,16,1
3290,10,55,4
4322,8,2,4
943,3,2,1
1295,5,16,2
3920,2,63,5
3652,15,26,4
3150,4,48,4
4718,12,9,4
1559,10,40,3
1464,5,59,3
3443,6,32,4
1099,5,62,2
4269,5,34,5
3748,1,3,4
4056,1,7,4
938,3,7,1
1848,9,35,3
456,3,35,2
721,14,51,2
309,10,34,2
335,1,39,2
3537,13,16,3
886,4,10,1
1989,11,2,2
544,9,52,2
3466,1,5,3
1114,7,8,1
1270,8,4,2
268,9,45,2
4250,11,5,4
623,11,5,1
2891,15,26,3
727,3,16,1
407,13,31,1
2475,14,3,3
4252,10,38,5
2502,1,46,4
1652,2,2,2
1162,9,37,2
2159,12,62,3
2945,2,16,3
3795,4,61,5
4048,12,37,5
1446,11,38,3
3634,13,57,5
2566,11,34,4
1997,4,4,2
4938,12,21,5
4687,9,49,5
3035,10,10,3
2551,1,6,3
1130,13,36,2
4988,15,30,5
1913,4,18,2
2290,2,43,3
2972,3,5,3
685,13,56,2
1405,9,29,2
2403,11,49,4
4236,9,2,4
314,6,57,2
1047,9,7,1
2488,9,6,3
559,1,31,1
1149,12,27,1
2562,10,38,4
4307,6,24,4
1303,3,8,2
4961,7,43,6
4302,8,25,4
1235,6,50,3
1305,9,51,3
3487,13,33,4
3616,13,24,4
1009,9,21,1
4048,5,12,4
3604,9,57,5
3500,15,48,4
4079,9,55,5
3990,2,5,4
2816,9,6,3
3537,3,20,3
189,5,61,2
2575,1,30,3
3651,14,58,5
2817,9,41,4
4163,13,26,4
2662,8,53,4
2077,2,35,3
959,15,49,2
4845,11,20,5
4665,5,57,5
761,4,25,1
389,4,32,2
313,6,51,2
914,6,57,2
1737,13,9,2
4325,7,6,4
2350,7,51,3
1057,13,20,1
511,1,32,2
2792,8,23,3
1563,7,4,2
2012,7,60,3
3535,12,12,3
1207,13,40,3
3574,12,21,3
2414,3,50,4
1043,11,19,1
1322,2,15,2
2448,15,37,4
694,9,62,2
881,14,48,2
3503,7,62,4
4710,8,8,4
4255,6,35,5
653,2,53,2
4181,14,44,5
3758,5,3,4
366,4,20,1
1558,13,31,2
3812,5,47,5
1360,8,19,2
3988,14,40,5
3977,1,9,4
2840,5,42,4
2424,1,10,3
2996,11,35,4
724,10,56,2
3184,8,41,4
3092,9,26,3
749,1,22,1
4991,14,18,5
2104,6,42,3
710,14,54,2
133,10,40,2
1745,8,25,2
4514,11,16,4
1011,12,2,1
1045,11,30,1
4660,6,48,5
2563,1,8,3
2154,15,38,3
3952,3,63,5
1565,2,41,3
2010,15,49,3
2419,3,40,4
3065,10,62,4
4354,4,36,5
2958,7,38,4
863,14,54,2
2415,15,11,3
3822,4,53,5
4836,4,13,5
4359,7,59,5
3803,5,43,5
3151,15,45,4
4522,15,13,4
2028,7,17,2
3227,7,20,3
4409,5,9,4
749,11,8,1
4508,9,6,4
4198,5,13,4
4690,6,48,5
4053,7,33,5
2575,1,63,4
3951,2,47,5
1630,6,30,2
1354,11,13,2
924,10,38,2
489,12,52,2
2918,6,9,3
4829,13,57,6
1593,8,19,2
989,14,44,2
656,2,21,1
4870,8,32,6
930,13,47,2
2490,7,5,3
1126,2,45,2
1356,11,62,3
2193,9,9,2
2310,1,27,2
3048,10,16,3
2184,6,22,2
2808,14,43,4
127,15,29,1
2689,2,4,3
2036,13,58,3
4012,13,27,4
4010,8,46,5
3212,9,3,3
638,7,32,2
3076,8,56,4
3525,14,16,3
1915,6,43,3
585,13,31,1
1658,15,3,2
670,10,23,1
3965,4,27,4
4028,6,57,5
3815,8,60,5
443,4,55,2
2780,9,30,3
4353,10,35,5
339,15,50,2
1676,13,45,3
765,2,39,2
2851,3,62,4
4870,4,29,5
4372,5,52,5
4370,2,12,4
2868,15,10,3
1670,15,8,2
3353,5,10,3
3961,13,21,4
2717,10,8,3
3551,13,23,3
3357,1,28,3
2219,4,61,3
1222,8,5,2
1415,15,19,2
1777,8,27,2
1393,2,30,2
3048,12,15,3
2546,2,11,3
1326,14,59,3
3785,14,30,4
1153,12,36,2
1371,5,30,2
1012,6,47,2
4386,10,17,4
1339,2,33,3
4304,3,23,4
3359,12,60,4
2318,11,43,3
2128,14,41,3
4090,9,52,5
3612,7,9,4
2550,3,56,4
1407,14,56,3
2539,7,38,4
4097,15,48,5
2361,14,9,2
947,6,14,1
3660,10,2,4
2717,4,22,3
1553,15,7,2
1898,1,55,3
2495,10,30,3
3929,8,19,4
4451,12,19,4
4632,11,49,5
3708,15,14,4
2360,9,8,2
581,5,20,1
1659,3,53,3
3101,2,6,3
3293,14,17,3
1981,3,5,2
653,7,63,2
1556,13,56,3
2607,2,55,4
3370,9,42,4
3251,10,22,3
260,6,4,1
1190,1,50,2
3427,1,6,3
3873,15,27,4
4059,9,62,5
620,5,62,2
267,3,41,2
3709,14,24,4
4383,7,60,5
675,9,25,1
2034,1,50,3
4346,5,9,4
1084,6,48,2
1612,5,59,3
4619,15,56,5
4680,3,43,5
2501,15,7,3
4429,9,53,5
4514,11,30,4
774,6,39,2
4308,11,41,5
1072,10,7,1
3492,6,62,4
4811,7,43,6
2069,7,12,2
558,6,3,1
2392,3,8,2
1946,12,6,2
3051,3,5,3
1982,4,50,3
1721,3,35,3
1951,7,33,3
